"subj" "block" "trial" "stim" "target" "resp" "acc" "rt" "ITI" "difficulty" "task" "session"
45 "P" 1 "b" NA "n" 1 1120 840 1 "P" "001"
45 "P" 2 "t" "b" "n" 1 402 1281 1 "P" "001"
45 "P" 3 "b" "t" "n" 1 385 1050 1 "P" "001"
45 "P" 4 "g" "b" "n" 1 535 674 1 "P" "001"
45 "P" 5 "t" "g" "n" 1 335 931 1 "P" "001"
45 "P" 6 "G" "t" "n" 1 351 1005 1 "P" "001"
45 "P" 7 "v" "g" "n" 1 352 1417 1 "P" "001"
45 "P" 8 "v" "v" "y" 1 486 636 1 "P" "001"
45 "P" 9 "t" "v" "n" 1 402 1268 1 "P" "001"
45 "P" 10 "g" "t" "n" 1 385 1020 1 "P" "001"
45 "P" 11 "t" "g" "n" 1 569 574 1 "P" "001"
45 "P" 12 "t" "t" "y" 1 384 618 1 "P" "001"
45 "P" 13 "V" "t" "n" 1 535 648 1 "P" "001"
45 "P" 14 "B" "v" "n" 1 519 663 1 "P" "001"
45 "P" 15 "t" "b" "n" 1 352 922 1 "P" "001"
45 "P" 16 "g" "t" "n" 1 368 576 1 "P" "001"
45 "P" 17 "G" "g" "y" 1 518 900 1 "P" "001"
45 "P" 18 "b" "g" "n" 1 535 1343 1 "P" "001"
45 "P" 19 "V" "b" "n" 1 551 1174 1 "P" "001"
45 "P" 20 "T" "v" "n" 1 569 735 1 "P" "001"
45 "1" 1 "V" NA "n" 1 835 1055 2 "adaptive" "001"
45 "1" 2 "b" NA "n" 1 652 821 2 "adaptive" "001"
45 "1" 3 "T" "v" "n" 1 635 1312 2 "adaptive" "001"
45 "1" 4 "t" "b" "y" 0 669 803 2 "adaptive" "001"
45 "2" 1 "B" NA "n" 1 318 713 3 "adaptive" "001"
45 "2" 2 "t" NA "n" 1 669 795 3 "adaptive" "001"
45 "2" 3 "T" NA "n" 1 602 862 3 "adaptive" "001"
45 "2" 4 "g" "b" "n" 1 485 1490 3 "adaptive" "001"
45 "3" 1 "g" NA "n" 1 1002 529 4 "adaptive" "001"
45 "3" 2 "G" NA "n" 1 769 1322 4 "adaptive" "001"
45 "3" 3 "b" NA "n" 1 602 1081 4 "adaptive" "001"
45 "3" 4 "V" NA "n" 1 518 1259 4 "adaptive" "001"
45 "4" 1 "g" NA "n" 1 885 1194 2 "two" "001"
45 "4" 2 "g" NA "y" 0 502 1094 2 "two" "001"
45 "4" 3 "b" "g" "n" 1 736 1393 2 "two" "001"
45 "4" 4 "v" "g" "n" 1 535 1407 2 "two" "001"
45 "5" 1 "V" NA "n" 1 435 855 2 "two" "001"
45 "5" 2 "B" NA "n" 1 569 840 2 "two" "001"
45 "5" 3 "B" "v" "n" 1 952 587 2 "two" "001"
45 "5" 4 "B" "b" "y" 1 352 1089 2 "two" "001"
45 "6" 1 "g" NA "n" 1 652 757 2 "two" "001"
45 "6" 2 "G" NA "n" 1 869 655 2 "two" "001"
45 "6" 3 "g" "g" "y" 1 684 1217 2 "two" "001"
45 "6" 4 "V" "g" "n" 1 702 820 2 "two" "001"
46 "P" 1 "V" NA NA -1 NA 913 1 "P" "001"
46 "P" 2 "B" "v" "n" 1 1353 625 1 "P" "001"
46 "P" 3 "B" "b" "y" 1 885 569 1 "P" "001"
46 "P" 4 "v" "b" "y" 0 1303 1184 1 "P" "001"
46 "P" 5 "T" "v" "n" 1 1954 725 1 "P" "001"
46 "P" 6 "G" "t" "n" 1 985 1029 1 "P" "001"
46 "P" 7 "b" "g" "n" 1 635 1455 1 "P" "001"
46 "P" 8 "b" "b" "n" 0 1536 1125 1 "P" "001"
46 "P" 9 "G" "b" "y" 0 1353 1159 1 "P" "001"
46 "P" 10 "b" "g" "y" 0 936 1160 1 "P" "001"
46 "P" 11 "v" "b" "n" 1 1536 911 1 "P" "001"
46 "P" 12 "v" "v" "n" 0 1119 964 1 "P" "001"
46 "P" 13 "v" "v" "y" 1 1153 1366 1 "P" "001"
46 "P" 14 "v" "v" "y" 1 836 1211 1 "P" "001"
46 "P" 15 "v" "v" "y" 1 853 1290 1 "P" "001"
46 "P" 16 "v" "v" "y" 1 618 557 1 "P" "001"
46 "P" 17 "b" "v" "y" 0 801 895 1 "P" "001"
46 "P" 18 "v" "b" "y" 0 1102 934 1 "P" "001"
46 "P" 19 "G" "v" "n" 1 1069 913 1 "P" "001"
46 "P" 20 "g" "g" "n" 0 1086 1008 1 "P" "001"
46 "P" 21 "B" "g" "n" 1 1486 717 1 "P" "001"
46 "P" 22 "G" "b" "n" 1 868 925 1 "P" "001"
46 "P" 23 "G" "g" "y" 1 869 1231 1 "P" "001"
46 "P" 24 "T" "g" "n" 1 652 1416 1 "P" "001"
46 "P" 25 "T" "t" "n" 0 618 573 1 "P" "001"
46 "P" 26 "b" "t" "n" 1 919 1242 1 "P" "001"
46 "P" 27 "T" "b" "y" 0 986 535 1 "P" "001"
46 "P" 28 "T" "t" "y" 1 819 1001 1 "P" "001"
46 "P" 29 "V" "t" "n" 1 719 1236 1 "P" "001"
46 "P" 30 "B" "v" "n" 1 818 1102 1 "P" "001"
46 "P" 31 "V" "b" "n" 1 836 1237 1 "P" "001"
46 "P" 32 "v" "v" "y" 1 834 1144 1 "P" "001"
46 "P" 33 "B" "v" "n" 1 836 1298 1 "P" "001"
46 "P" 34 "B" "b" "y" 1 802 718 1 "P" "001"
46 "P" 35 "v" "b" "n" 1 585 839 1 "P" "001"
46 "P" 36 "G" "v" "y" 0 651 1295 1 "P" "001"
46 "P" 37 "G" "g" "y" 1 1085 1144 1 "P" "001"
46 "P" 38 "G" "g" "y" 1 802 1497 1 "P" "001"
46 "P" 39 "T" "g" "n" 1 835 1334 1 "P" "001"
46 "P" 40 "T" "t" "y" 1 702 621 1 "P" "001"
46 "1" 1 "B" NA "n" 1 1420 938 2 "adaptive" "001"
46 "1" 2 "T" NA "n" 1 1069 806 2 "adaptive" "001"
46 "1" 3 "g" "b" "y" 0 835 825 2 "adaptive" "001"
46 "1" 4 "V" "t" NA 0 NA 1201 2 "adaptive" "001"
46 "1" 5 "B" "g" "n" 1 751 1023 2 "adaptive" "001"
46 "1" 6 "T" "v" "y" 0 936 1341 2 "adaptive" "001"
46 "1" 7 "b" "b" "y" 1 903 680 2 "adaptive" "001"
46 "1" 8 "t" "t" "n" 0 1152 865 2 "adaptive" "001"
46 "1" 9 "B" "b" "y" 1 1035 621 2 "adaptive" "001"
46 "1" 10 "t" "t" "y" 1 918 1356 2 "adaptive" "001"
46 "1" 11 "v" "b" "n" 1 836 1106 2 "adaptive" "001"
46 "1" 12 "t" "t" "y" 1 919 1320 2 "adaptive" "001"
46 "1" 13 "V" "v" "n" 0 1236 1156 2 "adaptive" "001"
46 "1" 14 "G" "t" "n" 1 969 1047 2 "adaptive" "001"
46 "1" 15 "G" "v" "y" 0 852 1301 2 "adaptive" "001"
