"subj" "wmc"
"01" 4
"02" 3
"03" 2
"04" 0
"05" 3
"06" 0
"07" 4
"08" 4
"09" 0
"10" 3
"11" 2
"12" 4
"13" 3
"14" 2
"15" 2
"16" 5
"18" 2
"19" 4
"20" 3
"21" 3
"22" 3
"23" 3
"24" 0
"25" 0
"26" 0
"27" 4
"28" 2
"29" 4
"30" 0
"31" 3
"32" 2
"33" 2
"34" 4
"35" 3
"36" 3
"37" 0
"38" 0
"39" 4
"40" 5
"41" 2
"42" 3
"43" 0
"44" 0
"45" 0
"46" 0
"47" 3
"48" 3
"49" 3
"50" 3
"51" 2
"52" 4
"53" 0
"54" 5
"55" 5
"56" 0
"57" 2
"58" 5
"59" 2
"60" 4
"61" 4
"62" 2
"63" 0
"66" 3
"67" 0
"68" 4
"69" 0
"70" 4
"71" 0
"72" 0
"73" 4
"74" 2
"75" 2
"76" 0
"77" 0
"78" 2
"79" 0
"80" 0
"81" 3
"82" 3
"83" 5
"84" 0
"85" 4
"86" 0
"87" 3
"88" 0
"89" 3
